cksum kappa rho numDaysToRecover beta deathRate pir AFP_Detection reintroRate minBurnIn obsPeriod seasonalAmp numSims movModel moveRate ES_Detection vacRate vilPop
3f52382e 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0 {64000}
da0fb4d0 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0 {32000,32000}
830aa7aa 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0 {16000,16000,16000,16000}
408390d0 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0 {8000,8000,8000,8000,8000,8000,8000,8000}
edcce06d 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0 {4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000}
365f42fd 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0 {2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000}
fb840386 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0 {32000,8000,8000,8000,8000}
31ab520b 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0 {32000,4000,4000,4000,4000,4000,4000,4000,4000}
730ad0fd 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0.05 {64000}
213805a6 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0.05 {32000,32000}
48f4e6fb 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0.05 {16000,16000,16000,16000}
d1b6b88 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0.05 {8000,8000,8000,8000,8000,8000,8000,8000}
de3500ca 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0.05 {4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000}
4423f2a0 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0.05 {2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000}
59ffd56b 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0.05 {32000,8000,8000,8000,8000}
ee246e05 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0.05 {32000,4000,4000,4000,4000,4000,4000,4000,4000}
acda44f0 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0.2 {64000}
19a15c3c 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0.2 {32000,32000}
65b8aece 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0.2 {16000,16000,16000,16000}
1c3609d0 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0.2 {8000,8000,8000,8000,8000,8000,8000,8000}
32fb2591 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0.2 {4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000}
dcd63558 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0.2 {2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000}
83c9f333 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0.2 {32000,8000,8000,8000,8000}
a2b77e16 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0.2 {32000,4000,4000,4000,4000,4000,4000,4000,4000}
c8bb2939 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0.5 {64000}
82a05326 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0.5 {32000,32000}
b76de848 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0.5 {16000,16000,16000,16000}
123ccf70 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0.5 {8000,8000,8000,8000,8000,8000,8000,8000}
21840b6b 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0 0.5 {4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000}
